BUITRAGO

22/03/2021 10:41:10 a. m.




Sb1


Kxx	Mxx	

Sb1	Sb1	
Mx	Mx	
1/m	kN-m	

0	0	
4.421E-6	.1130	
8.843E-6	.2260	
26.53E-6	.6780	
97.28E-6	2.486	
.3803E-3	9.719	
1.514E-3	38.67	
6.336E-3	157.7	
6.870E-3	170.0	
9.162E-3	221.4	
9.412E-3	226.7	
10.41E-3	248.0	
10.86E-3	256.8	
11.04E-3	260.4	
11.11E-3	261.9	
11.40E-3	267.6	
12.25E-3	272.4	
14.73E-3	291.4	
22.52E-3	302.2	
29.50E-3	315.0	
31.96E-3	314.0	
31.22E-3	314.2	
35.95E-3	315.1	
34.47E-3	314.5	
36.79E-3	314.6	
35.72E-3	314.3	
37.40E-3	313.7	
37.93E-3	312.6	
38.41E-3	311.9	
39.16E-3	309.5	
