0	0	
4.287E-6	.1130	
8.575E-6	.2260	
25.72E-6	.6780	
94.33E-6	2.486	
.3688E-3	9.719	
1.468E-3	38.67	
6.089E-3	157.2	
6.591E-3	169.4	
8.618E-3	218.7	
9.571E-3	239.3	
9.969E-3	247.8	
10.13E-3	251.3	
10.76E-3	265.1	
11.04E-3	270.8	
11.15E-3	273.1	
11.58E-3	282.3	
12.86E-3	289.8	
13.25E-3	292.8	
14.77E-3	304.7	
19.89E-3	315.0	
22.37E-3	318.4	
30.00E-3	331.2	
32.36E-3	329.8	
31.53E-3	330.0	
31.97E-3	330.1	
33.75E-3	330.4	
31.88E-3	330.2	
36.15E-3	327.6	
39.50E-3	324.7	
40.37E-3	321.9	
